attempts,season,epa_per_play_raw,total_epa_raw,success_rate_raw,epa_per_play_adj,avg_opponent_sp_defense,sos_percentile,big_play_rate,third_down_epa,third_down_attempts,red_zone_epa,red_zone_attempts,high_leverage_epa,high_leverage_rate,scoring_play_rate,player_name,draft_year,college,seasons_played
812,2013,0.4032005893497778,327.3988785520196,0.5935960591133005,0.4032005893497778,28.000000000000004,50.0,0.25738916256157635,,0,0.4917324980099996,96,0.4917324980099996,0.11822660098522167,0.08004926108374384,Jameis Winston,2015,Florida St.,2
1149,2012,0.33630970025109247,386.41984558850527,0.5404699738903395,0.33630970025109247,27.554032258064517,50.0,0.23672758920800696,,0,0.20723679167701597,187,0.20723679167701597,0.16275021758050479,0.09051348999129678,Marcus Mariota,2015,Oregon,3
1741,2011,0.16727151313185742,291.2197043625638,0.48363009764503156,0.16727151313185742,26.81833333333333,50.0,0.18093049971280872,,0,-0.11411912769441179,247,-0.11411912769441179,0.14187248707639288,0.04767375071797817,Sean Mannion,2015,Oregon St.,4
877,2011,0.105632569747069,92.63976366817951,0.4811858608893957,0.105632569747069,26.81833333333333,50.0,0.14709236031927023,,0,-0.06821790406870287,86,-0.06821790406870287,0.09806157354618016,0.03078677309007982,Trevor Siemian,2015,Northwestern,4
956,2012,0.2500996060560313,239.09522338956594,0.49686192468619245,0.2500996060560313,27.554032258064517,50.0,0.20606694560669456,,0,0.3265673484802246,125,0.3265673484802246,0.1307531380753138,0.06903765690376569,Brandon Allen,2016,Arkansas,4
1423,2011,0.3063153623120934,435.8867605701089,0.5390021082220661,0.3063153623120934,26.81833333333333,50.0,0.21503865073787773,,0,0.37734211549580654,214,0.37734211549580654,0.15038650737877723,0.07519325368938862,Brandon Doughty,2016,Western Kentucky,5
274,2013,0.0004352038576655144,0.11924585700035095,0.45255474452554745,0.0004352038576655144,28.000000000000004,50.0,0.22262773722627738,,0,-0.3911044216156006,25,-0.3911044216156006,0.09124087591240876,0.05474452554744526,Cardale Jones,2016,Ohio St.,3
29,2014,-0.0413851563272805,-1.2001695334911344,0.5172413793103449,-0.0413851563272805,27.3234375,50.0,0.13793103448275862,,0,-1.223363447189331,5,-1.223363447189331,0.1724137931034483,0.0,Carson Wentz,2016,North Dakota St.,1
1250,2012,0.23182560225725174,289.7820028215647,0.496,0.23182560225725174,27.554032258064517,50.0,0.1944,,0,0.5075911204020183,135,0.5075911204020183,0.108,0.0712,Cody Kessler,2016,USC,4
1073,2012,0.30746287829698327,329.90766841266304,0.5079217148182665,0.30746287829698327,27.554032258064517,50.0,0.22833178005591798,,0,0.45220315235632436,108,0.45220315235632436,0.10065237651444547,0.06523765144454799,Connor Cook,2016,Michigan St.,4
1135,2012,0.17046567449741343,193.47854055456423,0.5022026431718062,0.17046567449741343,27.554032258064517,50.0,0.17885462555066078,,0,-0.05949313918205157,146,-0.05949313918205157,0.12863436123348018,0.059030837004405284,Dak Prescott,2016,Mississippi St.,4
765,2014,0.048836509055561486,37.35992942750454,0.4522875816993464,0.048836509055561486,27.3234375,50.0,0.1477124183006536,,0,0.15463958821206722,106,0.15463958821206722,0.13856209150326798,0.05751633986928104,Jacoby Brissett,2016,North Carolina St.,2
412,2013,0.2107961927043292,86.84803139418364,0.5194174757281553,0.2107961927043292,28.000000000000004,50.0,0.21359223300970873,,0,0.33772621772907396,54,0.33772621772907396,0.13106796116504854,0.055825242718446605,Jake Rudock,2016,Michigan,2
1473,2013,0.27647485420644,407.2474602460861,0.5193482688391039,0.27647485420644,28.000000000000004,50.0,0.17990495587236932,,0,0.37270407676696776,180,0.37270407676696776,0.12219959266802444,0.06449422946367957,Jared Goff,2016,California,3
