season,week,season_type,home_team,away_team,home_division,away_division,completed
2003,4,regular,Colorado State,Weber State,fbs,fcs,True
2003,4,regular,Montana,Sam Houston,fcs,fcs,True
2003,4,regular,Michigan,Notre Dame,fbs,fbs,True
2003,4,regular,Colorado,Washington State,fbs,fbs,True
2003,4,regular,Army,Rutgers,fbs,fbs,True
2003,4,regular,Georgia,South Carolina,fbs,fbs,True
2003,4,regular,Oklahoma,Fresno State,fbs,fbs,True
2003,4,regular,St. Mary's (CA),Humboldt State,fcs,,True
2003,4,regular,Wyoming,Kansas,fbs,fbs,True
2003,4,regular,USC,Hawai'i,fbs,fbs,True
2003,4,regular,Clemson,Middle Tennessee,fbs,fbs,True
2003,4,regular,Maryland,The Citadel,fbs,fcs,True
2003,4,regular,Central Connecticut,UAlbany,fcs,fcs,True
2003,4,regular,Florida,Florida A&M,fbs,,True
2003,4,regular,Buffalo,Colgate,fbs,fcs,True
2003,4,regular,Kent State,Youngstown State,fbs,fcs,True
2003,4,regular,Stony Brook,Siena,fcs,fcs,True
2003,4,regular,Bowling Green,Liberty,fbs,fcs,True
2003,4,regular,Duke,Rice,fbs,fbs,True
2003,4,regular,Gardner-Webb,Webber International,fcs,,True
2003,4,regular,Western Carolina,Johnson C Smith,fcs,,True
2003,4,regular,Akron,Eastern Michigan,fbs,fbs,True
2003,4,regular,UCF,Florida Atlantic,fbs,fcs,True
2003,4,regular,Chattanooga,Tennessee Tech,fcs,fcs,True
2003,4,regular,Maine,Florida International,fcs,fcs,True
2003,4,regular,Oregon State,New Mexico State,fbs,fbs,True
2003,4,regular,Southern Illinois,Murray State,fcs,fcs,True
2003,4,regular,Baylor,SMU,fbs,fbs,True
2003,4,regular,Ole Miss,UL Monroe,fbs,fbs,True
2003,4,regular,Hofstra,Elon,fcs,fcs,True
2003,4,regular,Southern Miss,Memphis,fbs,fbs,True
2003,4,regular,Coastal Carolina,Morehead State,fcs,fcs,True
2003,4,regular,Delaware,Richmond,fcs,fcs,True
2003,4,regular,Savannah St,Norfolk State,fcs,fcs,True
2003,4,regular,Tulsa,Texas State,fbs,fcs,True
2003,4,regular,UAB,Troy,fbs,fbs,True
2003,4,regular,Northwestern State,Delaware State,fcs,fcs,True
2003,4,regular,Miami,East Carolina,fbs,fbs,True
2003,4,regular,Duquesne,Butler,fcs,fcs,True
2003,4,regular,Arkansas State,Southeast Missouri State,fbs,fcs,True
2003,4,regular,Indiana,Indiana State,fbs,fcs,True
2003,4,regular,Oklahoma State,Missouri State,fbs,fcs,True
2003,4,regular,Idaho,Boise State,fbs,fbs,True
2003,4,regular,Alabama,Kentucky,fbs,fbs,True
2003,4,regular,Tulane,Mississippi State,fbs,fbs,True
2003,4,regular,Henderson State,SE Louisiana,,fcs,True
2003,4,regular,Illinois State,Truman State,fcs,,True
2003,4,regular,Jacksonville State,North Alabama,fcs,,True
