player_name,season,college,plays,comp_adj_coverage,raw_epa_per_play,context_adj_epa_per_play,comp_adj_epa_per_play,full_adj_epa_per_play,college_leaf_raw,college_leaf_context,college_leaf_competition,college_leaf_full,team_sp_plus,draft_year,draft_round,draft_pick,rookie_leaf_mean,rookie_games
Mac Jones,2020,Alabama,426,100.0,0.4645395794524833,0.48099667184089834,0.6905297316696163,0.7144186644851938,0.9290791589049666,0.9619933436817967,1.3810594633392326,1.4288373289703875,28.3,2021,1,15,-0.011478853988985,18
Malik Willis,2021,Liberty,383,92.68929503916449,0.1159719233899608,0.10231518498522184,0.10438590776085778,0.09004296057888678,0.2319438467799216,0.20463036997044368,0.20877181552171556,0.18008592115777355,8.4,2022,3,86,-0.4194787990680296,6
Marcus Mariota,2014,Oregon,398,91.95979899497488,0.6858091137905253,0.6985202194945593,1.0028573012280664,1.0217666230030509,1.3716182275810507,1.3970404389891187,2.0057146024561328,2.0435332460061018,24.7,2015,1,2,0.146068749741815,12
Mitchell Trubisky,2016,North Carolina,453,88.30022075055187,0.09120316759870278,0.11529335309979537,0.1360299169160508,0.17080785075689647,0.18240633519740557,0.23058670619959074,0.2720598338321016,0.34161570151379295,15.9,2017,1,2,-0.1842378169193229,12
Nathan Peterman,2016,Pittsburgh,317,89.90536277602523,0.16198229192747302,0.164931768510808,0.2219207412151132,0.2263034457450334,0.32396458385494603,0.329863537021616,0.4438414824302264,0.4526068914900668,13.1,2017,5,171,-0.2360363846321031,5
Patrick Mahomes,2016,Texas Tech,638,89.34169278996865,0.12426022917972322,0.1275757890542368,0.2153618943723894,0.22305191367730373,0.24852045835944644,0.2551515781084736,0.4307237887447788,0.44610382735460746,3.7,2017,1,10,0.1709549461816212,1
Paxton Lynch,2015,Memphis,425,95.05882352941177,0.5267784707697204,0.562863151638148,0.5846649800065148,0.6279411995629149,1.0535569415394408,1.125726303276296,1.1693299600130296,1.2558823991258299,8.0,2016,1,26,0.0623433125620617,3
Ryan Finley,2018,NC State,480,91.45833333333333,0.28820229254973434,0.2968995385502155,0.34456120027430975,0.3561829500009728,0.5764045850994687,0.593799077100431,0.6891224005486195,0.7123659000019456,9.4,2019,4,104,-0.5851547409654109,3
Sam Darnold,2017,USC,474,100.0,0.20437158012314688,0.213176904135867,0.11197126442464343,0.11604018843173929,0.40874316024629376,0.426353808271734,0.22394252884928686,0.23208037686347857,17.9,2018,1,3,-0.0145699298979516,13
Sam Howell,2021,North Carolina,397,92.44332493702771,0.10872525988282725,0.09964139347769302,0.13014612831565683,0.11767875092037641,0.2174505197656545,0.19928278695538604,0.26029225663131367,0.23535750184075283,6.4,2022,5,144,-0.4578595961141502,1
Sean Mannion,2014,Oregon State,469,83.36886993603412,0.289511396635925,0.3176636973084713,0.30423694967071374,0.33310279387365144,0.57902279327185,0.6353273946169427,0.6084738993414275,0.6662055877473029,3.2,2015,3,89,-0.2030038375684063,1
Skylar Thompson,2021,Kansas St.,315,93.96825396825396,0.19051826716297202,0.19251609256709853,0.19512601761062226,0.19650468983371575,0.38103653432594403,0.38503218513419707,0.3902520352212445,0.3930093796674315,,2022,7,247,-0.3596309354903609,8
Trevor Lawrence,2020,Clemson,484,94.42148760330579,0.26268163191016053,0.2741412553111138,0.3846504563242505,0.40157102728036875,0.5253632638203211,0.5482825106222275,0.769300912648501,0.8031420545607375,26.1,2021,1,1,-0.1398522563381176,17
Tua Tagovailoa,2019,Alabama,397,89.67254408060454,0.4893625762961073,0.4963415757707444,0.7268921029539193,0.7372575176235936,0.9787251525922146,0.9926831515414888,1.4537842059078385,1.4745150352471872,32.4,2020,1,5,-0.0473925558279531,10
Will Grier,2018,West Virginia,434,93.08755760368663,0.31789650774908507,0.32929223254735024,0.4450545233858896,0.46110858935035326,0.6357930154981701,0.6585844650947005,0.8901090467717792,0.9222171787007065,13.2,2019,3,100,-0.625739677371351,2
