aggregation_method,outcome,outcome_type,feature_combo,n_features,features,n_samples,r,r_squared,cv_r2,rmse,auc,accuracy
recency_weighted,85+ Starts,classification,solo_red_zone_epa,1,red_zone_epa,81,0.07873070033657166,,,,0.49470899470899476,0.7777777777777778
recency_weighted,85+ Starts,classification,solo_high_leverage_epa,1,high_leverage_epa,81,0.07873070033657166,,,,0.49470899470899476,0.7777777777777778
recency_weighted,85+ Starts,classification,solo_success_rate,1,success_rate,81,0.2014306422879124,,,,0.6428571428571428,0.7654320987654321
recency_weighted,85+ Starts,classification,pair_epa_volume,2,"epa_per_play, attempts",81,0.08672664012292126,,,,0.6014109347442681,0.7777777777777778
recency_weighted,85+ Starts,classification,pair_epa_bigplay,2,"epa_per_play, big_play_rate",81,0.1443869923664055,,,,0.544973544973545,0.7777777777777778
recency_weighted,85+ Starts,classification,pair_epa_leverage,2,"epa_per_play, high_leverage_epa",81,0.14666822463870632,,,,0.5546737213403881,0.7777777777777778
recency_weighted,85+ Starts,classification,pair_volume_bigplay,2,"attempts, big_play_rate",81,0.15546112430645098,,,,0.5943562610229278,0.7777777777777778
recency_weighted,85+ Starts,classification,triple_epa_vol_bp,3,"epa_per_play, attempts, big_play_rate",81,0.1574474962700164,,,,0.5934744268077602,0.7777777777777778
recency_weighted,85+ Starts,classification,triple_epa_lev_sr,3,"epa_per_play, high_leverage_epa, success_rate",81,0.3402288773342641,,,,0.7010582010582012,0.7901234567901234
recency_weighted,85+ Starts,classification,five_no_situational,5,"epa_per_play, attempts, big_play_rate, high_leverage_epa, success_rate",81,0.3600748069427064,,,,0.7398589065255732,0.8024691358024691
recency_weighted,Bust,classification,solo_epa_per_play,1,epa_per_play,110,0.16561057946949725,,,,0.5981657608695652,0.6090909090909091
recency_weighted,Bust,classification,solo_attempts,1,attempts,110,0.0867161088213898,,,,0.5658967391304348,0.5727272727272728
recency_weighted,Bust,classification,solo_big_play_rate,1,big_play_rate,110,0.09163746816910168,,,,0.53125,0.5909090909090909
recency_weighted,Bust,classification,solo_red_zone_epa,1,red_zone_epa,110,0.06192932854070503,,,,0.5400815217391304,0.6
recency_weighted,Bust,classification,solo_high_leverage_epa,1,high_leverage_epa,110,0.06192932854070503,,,,0.5400815217391304,0.6
recency_weighted,Bust,classification,solo_success_rate,1,success_rate,110,0.25287027798334616,,,,0.6494565217391304,0.6272727272727273
recency_weighted,Bust,classification,pair_epa_volume,2,"epa_per_play, attempts",110,0.1750968016455286,,,,0.6182065217391304,0.6545454545454545
recency_weighted,Bust,classification,pair_epa_bigplay,2,"epa_per_play, big_play_rate",110,0.16563888617118191,,,,0.5981657608695652,0.6090909090909091
recency_weighted,Bust,classification,pair_epa_leverage,2,"epa_per_play, high_leverage_epa",110,0.1657269393210556,,,,0.594429347826087,0.6090909090909091
recency_weighted,Bust,classification,pair_volume_bigplay,2,"attempts, big_play_rate",110,0.12753438871101455,,,,0.5594429347826088,0.6090909090909091
recency_weighted,Bust,classification,triple_epa_vol_bp,3,"epa_per_play, attempts, big_play_rate",110,0.17508033418440802,,,,0.6178668478260869,0.6545454545454545
recency_weighted,Bust,classification,triple_epa_lev_sr,3,"epa_per_play, high_leverage_epa, success_rate",110,0.2701590809591751,,,,0.6494565217391305,0.6454545454545455
recency_weighted,Bust,classification,five_no_situational,5,"epa_per_play, attempts, big_play_rate, high_leverage_epa, success_rate",110,0.27981646477837235,,,,0.6627038043478262,0.6272727272727273
recency_weighted,Elite Peak,classification,solo_epa_per_play,1,epa_per_play,110,0.2702686692979097,,,,0.6417910447761195,0.6636363636363637
recency_weighted,Elite Peak,classification,solo_attempts,1,attempts,110,0.10047348546441165,,,,0.5772301284276293,0.6
recency_weighted,Elite Peak,classification,solo_big_play_rate,1,big_play_rate,110,0.19671169194848817,,,,0.5907670947587643,0.6545454545454545
recency_weighted,Elite Peak,classification,solo_red_zone_epa,1,red_zone_epa,110,0.11990828958006579,,,,0.5883373828531759,0.6
recency_weighted,Elite Peak,classification,solo_high_leverage_epa,1,high_leverage_epa,110,0.11990828958006579,,,,0.5883373828531759,0.6
recency_weighted,Elite Peak,classification,solo_success_rate,1,success_rate,110,0.3161341985427892,,,,0.6758070114543562,0.6545454545454545
recency_weighted,Elite Peak,classification,pair_epa_volume,2,"epa_per_play, attempts",110,0.27977930842414095,,,,0.6563693162096493,0.6545454545454545
recency_weighted,Elite Peak,classification,pair_epa_bigplay,2,"epa_per_play, big_play_rate",110,0.2738078243266936,,,,0.6390142311697328,0.6727272727272727
recency_weighted,Elite Peak,classification,pair_epa_leverage,2,"epa_per_play, high_leverage_epa",110,0.2708449572353987,,,,0.6428323498785145,0.6636363636363637
recency_weighted,Elite Peak,classification,pair_volume_bigplay,2,"attempts, big_play_rate",110,0.22767659250650688,,,,0.6192294342242277,0.6727272727272727
recency_weighted,Elite Peak,classification,triple_epa_vol_bp,3,"epa_per_play, attempts, big_play_rate",110,0.2864201709043453,,,,0.6598403332176328,0.6545454545454545
recency_weighted,Elite Peak,classification,triple_epa_lev_sr,3,"epa_per_play, high_leverage_epa, success_rate",110,0.31760176141070434,,,,0.6768483165567512,0.6636363636363637
recency_weighted,Elite Peak,classification,five_no_situational,5,"epa_per_play, attempts, big_play_rate, high_leverage_epa, success_rate",110,0.3295954790104617,,,,0.6806664352655328,0.6909090909090909
recency_weighted,Sustained Starter,classification,solo_epa_per_play,1,epa_per_play,110,0.26497114684223544,,,,0.6508156889968761,0.6636363636363637
recency_weighted,Sustained Starter,classification,solo_attempts,1,attempts,110,0.08006168676830622,,,,0.5652551197500868,0.6090909090909091
recency_weighted,Sustained Starter,classification,solo_big_play_rate,1,big_play_rate,110,0.23680979106744893,,,,0.6098576883026726,0.6727272727272727
recency_weighted,Sustained Starter,classification,solo_red_zone_epa,1,red_zone_epa,110,0.09210260606421929,,,,0.5629989586948976,0.6272727272727273
recency_weighted,Sustained Starter,classification,solo_high_leverage_epa,1,high_leverage_epa,110,0.09210260606421929,,,,0.5629989586948976,0.6272727272727273
