game_id,game_date,season,season_type,week,passer_player_id,passer_player_name,posteam,defteam,qb_epa_mean,qb_epa_sum,qb_epa_count,cpoe_mean,success_mean,attempts
2006_09_GB_BUF,2006-11-05,2006,REG,9,00-0022912,J.Losman,BUF,GB,-0.306982,-6.139640,20,-2.753349,0.300000,20.000000
2006_09_HOU_NYG,2006-11-05,2006,REG,9,00-0020608,D.Carr,HOU,NYG,0.256396,7.948273,31,2.700102,0.548387,31.000000
2006_09_HOU_NYG,2006-11-05,2006,REG,9,00-0022803,E.Manning,NYG,HOU,0.237843,7.135287,30,-0.612923,0.566667,30.000000
2006_09_IND_NE,2006-11-05,2006,REG,9,00-0010346,P.Manning,IND,NE,0.304892,11.890784,39,4.647745,0.487179,39.000000
2006_09_IND_NE,2006-11-05,2006,REG,9,00-0019596,T.Brady,NE,IND,-0.235668,-8.248382,35,-3.977021,0.400000,35.000000
2006_09_KC_STL,2006-11-05,2006,REG,9,00-0007835,D.Huard,KC,LA,0.327702,5.570941,17,11.278910,0.529412,17.000000
2006_09_KC_STL,2006-11-05,2006,REG,9,00-0019599,M.Bulger,LA,KC,0.128978,5.546045,43,11.647784,0.604651,43.000000
2006_09_MIA_CHI,2006-11-05,2006,REG,9,00-0021141,J.Harrington,MIA,CHI,-0.279778,-8.673115,31,-6.313750,0.387097,31.000000
2006_09_MIA_CHI,2006-11-05,2006,REG,9,00-0022121,R.Grossman,CHI,MIA,-0.539877,-24.294464,45,-16.177353,0.288889,45.000000
2006_09_MIN_SF,2006-11-05,2006,REG,9,00-0008442,B.Johnson,MIN,SF,-0.503934,-17.133767,34,17.739920,0.382353,34.000000
2006_09_MIN_SF,2006-11-05,2006,REG,9,00-0023436,A.Smith,SF,MIN,-0.431447,-10.354720,24,22.259835,0.333333,24.000000
2006_09_NO_TB,2006-11-05,2006,REG,9,00-0020531,D.Brees,NO,TB,0.740706,23.702595,32,14.024499,0.625000,32.000000
2006_09_NO_TB,2006-11-05,2006,REG,9,00-0024408,B.Gradkowski,TB,NO,-0.265185,-9.016305,34,-0.711956,0.294118,34.000000
2006_09_OAK_SEA,2006-11-06,2006,REG,9,00-0022055,S.Wallace,SEA,LV,-0.131383,-4.335646,33,-0.815807,0.363636,33.000000
2006_09_OAK_SEA,2006-11-06,2006,REG,9,00-0023504,A.Walter,LV,SEA,-0.393293,-17.304876,44,-17.203496,0.272727,44.000000
2006_09_TEN_JAX,2006-11-05,2006,REG,9,00-0021231,D.Garrard,JAX,TEN,0.262713,6.305117,24,-1.117103,0.416667,24.000000
2006_09_TEN_JAX,2006-11-05,2006,REG,9,00-0024218,V.Young,TEN,JAX,-0.567928,-21.013353,37,-23.844509,0.297297,37.000000
2006_10_BAL_TEN,2006-11-12,2006,REG,10,00-0011024,S.McNair,BAL,TEN,0.256623,12.317902,48,1.733139,0.437500,48.000000
2006_10_BAL_TEN,2006-11-12,2006,REG,10,00-0024218,V.Young,TEN,BAL,0.022849,0.616923,27,-6.664026,0.407407,27.000000
2006_10_BUF_IND,2006-11-12,2006,REG,10,00-0010346,P.Manning,IND,BUF,0.119527,4.661569,39,-3.532782,0.564103,39.000000
2006_10_BUF_IND,2006-11-12,2006,REG,10,00-0022912,J.Losman,BUF,IND,0.045681,0.776577,17,17.962193,0.470588,17.000000
2006_10_CHI_NYG,2006-11-12,2006,REG,10,00-0022121,R.Grossman,CHI,NYG,0.278532,8.913017,32,0.975455,0.468750,32.000000
