game_id,game_date,season,season_type,week,passer_player_id,passer_player_name,posteam,defteam,plays,epa,cpoe,success,age,log_pick,def_rating,adj_epa,b1_expanding,b2_prev_season,b3_ewma,b4_last12,k_epa,k_adj_epa,k_adj_epa_var,k_cpoe,k_success,k_informed,k_informed_pre,k_informed_var,leaf_v34,leaf_v34_pre,leaf_v34_unrestricted
2006_02_WAS_DAL,2006-09-17,2006,REG,2,00-0001361,D.Bledsoe,DAL,WAS,39,0.149303,-11.203650,0.384615,34.590007,0.000000,0.020865,0.128438,-0.095276,,-0.095276,-0.095276,-0.026957,-0.029978,0.003713,-2.289122,0.415977,-0.021019,-0.046325,0.003713,0.019941,0.018967,0.001827
2006_02_WAS_DAL,2006-09-17,2006,REG,2,00-0002110,M.Brunell,WAS,DAL,38,-0.289235,-3.302729,0.394737,36.000000,4.770685,0.006735,-0.295970,0.010847,,0.010847,0.010847,-0.078323,-0.079302,0.003824,-1.244665,0.413455,-0.099367,-0.065940,0.003824,-0.000635,0.014036,-0.022150
2006_02_PIT_JAX,2006-09-18,2006,REG,2,00-0022177,B.Leftwich,JAX,PIT,40,0.094096,4.869092,0.400000,26.677618,1.945910,-0.013455,0.107551,0.153140,,0.153140,0.153140,-0.002682,-0.000691,0.003699,0.179149,0.429107,-0.001933,-0.020946,0.003699,0.051260,0.041943,0.032437
2006_02_PIT_JAX,2006-09-18,2006,REG,2,00-0022924,B.Roethlisberger,PIT,JAX,34,-0.563715,-4.468817,0.294118,24.547570,2.397895,-0.006588,-0.557127,,,,,-0.125279,-0.124314,0.004310,-1.274253,0.401553,-0.127781,-0.054062,0.004310,-0.014486,0.019781,-0.040827
2006_03_BAL_CLE,2006-09-24,2006,REG,3,00-0011024,S.McNair,BAL,CLE,44,0.119420,9.204485,0.454545,33.607118,1.098612,0.013341,0.106079,-0.118759,,0.121846,-0.118759,-0.039426,-0.042979,0.003353,0.016815,0.414972,-0.041877,-0.067482,0.003353,0.031466,0.012652,0.007251
2006_03_BAL_CLE,2006-09-24,2006,REG,3,00-0023502,C.Frye,CLE,BAL,40,-0.080670,7.181741,0.375000,25.073238,4.204693,-0.080562,-0.000108,-0.215027,,-0.284970,-0.215027,-0.089434,-0.076823,0.003366,-0.231933,0.419606,-0.090321,-0.104359,0.003366,0.012866,0.004047,-0.008624
2006_03_CAR_TB,2006-09-24,2006,REG,3,00-0004161,J.Delhomme,CAR,TB,39,0.049569,7.500619,0.461538,31.704312,5.572154,0.007092,0.042477,-0.317107,,-0.353707,-0.317107,-0.103494,-0.104621,0.003242,-1.605410,0.403749,-0.124658,-0.148848,0.003242,-0.015544,-0.033103,-0.040148
2006_03_CAR_TB,2006-09-24,2006,REG,3,00-0022005,C.Simms,TB,CAR,25,-0.166259,-5.375325,0.400000,26.069815,4.574711,-0.008051,-0.158208,-0.475797,,-0.760022,-0.475797,-0.176048,-0.170699,0.003327,-1.746456,0.401124,-0.186001,-0.188522,0.003327,-0.039910,-0.039179,-0.065059
2006_03_CAR_TB,2006-09-24,2006,REG,3,00-0024408,B.Gradkowski,TB,CAR,1,0.487586,19.911301,1.000000,23.657769,5.267858,-0.008051,0.495637,-0.683348,,-0.683348,-0.683348,-0.065886,-0.065846,0.004927,-1.176951,0.410567,-0.091975,-0.094885,0.004927,0.001869,-0.000426,-0.021051
2006_03_CHI_MIN,2006-09-24,2006,REG,3,00-0008442,B.Johnson,MIN,CHI,32,-0.134118,12.215680,0.312500,38.028747,5.424950,-0.013586,-0.120532,0.034483,,0.258350,0.034483,-0.040585,-0.039774,0.003436,0.272304,0.400923,-0.062268,-0.055070,0.003436,0.022380,0.020842,-0.008299
